instrument,symbol,expiry,strike,option_type,open,high,low,close,settle_pr,volume,val_inlakh,open_interest,chg_in_oi,timestamp
OPTIDX,NIFTY,2026-03-31,20000.0,PE,15.05,15.85,14.95,15.45,15.45,93,1396.06623,96525,-2775,2025-12-01
OPTIDX,NIFTY,2026-12-29,31000.0,CE,333.0,360.0,311.0,320.0,320.0,90,2114.66718,57675,525,2025-12-01
OPTIDX,NIFTY,2026-12-29,25000.0,CE,3466.05,3466.05,3360.0,3392.25,3392.25,72,1535.22637,232225,525,2025-12-01
OPTIDX,NIFTY,2026-09-29,20000.0,CE,0.0,0.0,0.0,5846.9,7106.35,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2026-06-30,19000.0,CE,0.0,0.0,0.0,5792.0,7796.95,0,0.0,100,0,2025-12-01
OPTIDX,NIFTY,2026-03-31,19000.0,CE,0.0,0.0,0.0,5966.85,7531.55,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2026-02-24,27450.0,CE,0.0,0.0,0.0,317.5,266.15,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2026-02-24,27350.0,CE,293.35,293.35,264.45,264.6,293.7,24,430.855457,1300,1170,2025-12-01
OPTIDX,NIFTY,2026-02-24,26850.0,CE,449.9,449.9,449.9,449.9,464.8,1,17.744935,65,65,2025-12-01
OPTIDX,NIFTY,2026-02-24,26650.0,CE,546.5,546.5,546.5,546.5,546.5,1,17.677725,65,65,2025-12-01
OPTIDX,NIFTY,2026-02-24,26500.0,CE,700.0,700.0,609.8,624.1,624.1,461,8135.44442,51285,19890,2025-12-01
OPTIDX,NIFTY,2026-02-24,24550.0,CE,0.0,0.0,0.0,1870.25,2014.2,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2026-01-27,27900.0,CE,0.0,0.0,0.0,247.95,79.15,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2026-01-27,27400.0,CE,0.0,0.0,0.0,367.95,160.1,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2026-01-27,26650.0,CE,395.0,401.0,355.75,355.75,389.85,27,474.632925,4160,-390,2025-12-01
OPTIDX,NIFTY,2026-01-27,25400.0,CE,1261.35,1283.1,1261.35,1283.1,1144.2,2,34.6738925,3510,130,2025-12-01
OPTIDX,NIFTY,2026-01-27,24700.0,CE,0.0,0.0,0.0,1576.7,1739.9,0,0.0,65,0,2025-12-01
OPTIDX,NIFTY,2026-01-27,24350.0,CE,0.0,0.0,0.0,2006.65,2064.85,0,0.0,65,0,2025-12-01
OPTIDX,NIFTY,2026-01-27,23950.0,CE,0.0,0.0,0.0,2593.65,2448.5,0,0.0,65,0,2025-12-01
OPTIDX,NIFTY,2025-12-30,27900.0,CE,10.45,14.65,7.45,8.8,8.8,3955,82784.8902,186075,69150,2025-12-01
OPTIDX,NIFTY,2027-06-29,21000.0,CE,0.0,0.0,0.0,3061.8,7018.9,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2027-06-29,26000.0,CE,0.0,0.0,0.0,1900.85,3017.6,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2027-06-29,29000.0,CE,0.0,0.0,0.0,1545.2,1434.35,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2027-12-28,25000.0,CE,5000.0,5000.0,4850.0,4850.0,4365.8,3,67.35,150,-150,2025-12-01
OPTIDX,NIFTY,2025-12-09,25750.0,PE,14.0,31.95,11.35,25.9,25.9,27752,536460.556,442500,184275,2025-12-01
OPTIDX,NIFTY,2025-12-09,25100.0,PE,4.75,5.6,3.7,5.0,5.0,24142,454559.742,462375,225150,2025-12-01
OPTIDX,NIFTY,2025-12-09,25000.0,PE,4.65,5.25,3.45,4.8,4.8,84862,1591454.07,2982225,1940100,2025-12-01
OPTIDX,NIFTY,2025-12-09,24750.0,PE,3.5,4.2,3.1,3.8,3.8,2802,52019.732,33000,-10275,2025-12-01
OPTIDX,NIFTY,2025-12-09,24500.0,PE,2.9,3.6,2.8,3.2,3.2,37530,689703.222,758625,341700,2025-12-01
OPTIDX,NIFTY,2025-12-02,26450.0,PE,159.0,302.0,137.0,269.25,269.25,340779,6810006.03,261300,40725,2025-12-01
OPTIDX,NIFTY,2025-12-02,25550.0,PE,2.5,2.55,1.2,1.55,1.55,463702,8886348.95,1511775,54000,2025-12-01
OPTIDX,NIFTY,2025-12-02,25000.0,PE,1.45,1.55,0.65,1.05,1.05,525418,9852057.56,6511125,-3246750,2025-12-01
OPTIDX,NIFTY,2025-12-02,24850.0,PE,1.5,1.5,0.5,0.85,0.85,32568,607013.611,331800,-129975,2025-12-01
OPTIDX,NIFTY,2025-12-30,27300.0,CE,39.3,40.95,27.15,29.35,29.35,14554,298355.553,731925,-32175,2025-12-01
OPTIDX,NIFTY,2025-12-02,24650.0,PE,0.1,1.3,0.1,0.75,0.75,32759,605655.72,332250,-103950,2025-12-01
OPTIDX,NIFTY,2025-12-02,23950.0,PE,0.1,1.0,0.1,0.5,0.5,15792,283671.847,71700,-4050,2025-12-01
OPTIDX,NIFTY,2030-06-25,29000.0,CE,0.0,0.0,0.0,6019.2,4879.8,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2030-06-25,22000.0,CE,0.0,0.0,0.0,9790.15,9356.15,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2029-12-24,24000.0,CE,0.0,0.0,0.0,7730.0,7413.6,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2029-12-24,21000.0,CE,0.0,0.0,0.0,9463.95,9613.55,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2029-06-26,28000.0,CE,0.0,0.0,0.0,6112.6,4296.45,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2028-06-27,29000.0,CE,0.0,0.0,0.0,2333.25,2604.4,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2028-06-27,28000.0,CE,0.0,0.0,0.0,2596.45,3113.75,0,0.0,0,0,2025-12-01
OPTIDX,NIFTY,2027-12-28,29000.0,CE,0.0,0.0,0.0,1932.55,2019.5,0,0.0,0,0,2025-12-01
