instrument,symbol,expiry,expiry_dt_final,strike,option_type,open,high,low,close,settle_pr,volume,val_inlakh,open_int,chg_in_oi,timestamp
FUTSTK,ABCAPITAL,27-Jan-2026,2026-01-27,,,360.4,363.6,359.45,360.3,360.3,79,883.45505,1032300,18600,2025-12-01
FUTSTK,ABCAPITAL,24-Feb-2026,2026-02-24,,,362.0,365.1,361.6,361.6,360.9,6,67.5335,145700,9300,2025-12-01
FUTSTK,ABCAPITAL,30-Dec-2025,2025-12-30,,,359.85,361.7,357.15,358.45,358.45,2085,23198.8732,77385300,632400,2025-12-01
FUTSTK,ADANIENSOL,24-Feb-2026,2026-02-24,,,1019.5,1019.5,1013.55,1016.4,1012.55,6,41.167575,13500,2700,2025-12-01
FUTSTK,ADANIENSOL,30-Dec-2025,2025-12-30,,,1007.5,1012.3,995.4,1005.55,1005.55,1724,11685.6263,19180125,106650,2025-12-01
FUTSTK,ADANIENSOL,27-Jan-2026,2026-01-27,,,1012.0,1015.95,1005.7,1011.35,1011.35,46,313.61445,122175,6075,2025-12-01
FUTSTK,INDHOTEL,24-Feb-2026,2026-02-24,,,759.75,763.95,758.0,761.35,761.35,33,251.316,50000,1000,2025-12-01
FUTSTK,INDHOTEL,30-Dec-2025,2025-12-30,,,748.3,755.2,748.15,751.95,751.95,3010,22626.936,24710000,145000,2025-12-01
FUTSTK,INDHOTEL,27-Jan-2026,2026-01-27,,,756.0,759.0,753.0,756.95,756.95,135,1021.0335,892000,28000,2025-12-01
FUTSTK,INDIANB,27-Jan-2026,2026-01-27,,,879.2,892.0,878.7,889.05,889.05,93,825.3955,226000,18000,2025-12-01
FUTSTK,INDIANB,24-Feb-2026,2026-02-24,,,885.8,894.3,885.55,890.95,890.95,36,320.6625,13000,0,2025-12-01
FUTSTK,INDIANB,30-Dec-2025,2025-12-30,,,879.4,891.0,876.4,888.4,888.4,2033,18020.9385,11148000,127000,2025-12-01
FUTSTK,INOXWIND,24-Feb-2026,2026-02-24,,,136.96,137.0,135.29,135.88,135.88,18,87.5957225,153725,35750,2025-12-01
FUTSTK,INOXWIND,27-Jan-2026,2026-01-27,,,137.28,137.28,134.31,134.68,134.68,119,575.293647,2910050,260975,2025-12-01
FUTSTK,INOXWIND,30-Dec-2025,2025-12-30,,,135.8,136.57,133.31,133.84,133.84,1522,6685.38442,79643752,137424,2025-12-01
FUTSTK,JINDALSTEL,27-Jan-2026,2026-01-27,,,1062.0,1067.7,1050.9,1061.2,1061.2,57,377.11375,112500,8125,2025-12-01
FUTSTK,JINDALSTEL,30-Dec-2025,2025-12-30,,,1056.1,1061.3,1043.3,1054.6,1054.6,2562,16846.7025,11755625,142500,2025-12-01
FUTSTK,JINDALSTEL,24-Feb-2026,2026-02-24,,,1061.4,1062.0,1060.1,1060.1,1062.1,7,46.42875,5625,3750,2025-12-01
FUTSTK,MPHASIS,30-Dec-2025,2025-12-30,,,2810.0,2855.7,2810.0,2847.8,2847.8,2191,17128.0045,6128375,2750,2025-12-01
FUTSTK,MPHASIS,24-Feb-2026,2026-02-24,,,0.0,0.0,0.0,2845.4,2870.5,0,0.0,550,0,2025-12-01
FUTSTK,MPHASIS,27-Jan-2026,2026-01-27,,,2847.0,2875.3,2847.0,2865.0,2865.0,42,330.6919,55000,3300,2025-12-01
FUTSTK,NESTLEIND,24-Feb-2026,2026-02-24,,,1275.0,1279.4,1270.0,1270.0,1277.6,6,38.248,8500,1500,2025-12-01
FUTSTK,NESTLEIND,27-Jan-2026,2026-01-27,,,1273.9,1279.7,1267.8,1275.2,1275.2,184,1171.498,294500,43500,2025-12-01
FUTSTK,NESTLEIND,30-Dec-2025,2025-12-30,,,1278.9,1278.9,1259.6,1267.0,1267.0,1933,12226.6845,15971000,41500,2025-12-01
FUTSTK,NTPC,24-Feb-2026,2026-02-24,,,331.3,331.65,329.15,330.85,330.85,37,183.2235,112500,3000,2025-12-01
FUTSTK,NTPC,27-Jan-2026,2026-01-27,,,331.25,332.1,329.45,331.15,331.15,365,1810.236,2652000,211500,2025-12-01
FUTSTK,NTPC,30-Dec-2025,2025-12-30,,,330.0,330.3,327.2,329.2,329.2,3003,14805.8962,87349500,-42000,2025-12-01
FUTSTK,PRESTIGE,27-Jan-2026,2026-01-27,,,1685.8,1697.2,1665.0,1679.5,1679.5,27,204.43275,14850,0,2025-12-01
FUTSTK,PRESTIGE,30-Dec-2025,2025-12-30,,,1709.3,1709.3,1650.7,1667.8,1667.8,2026,15226.4403,4066650,164250,2025-12-01
FUTSTK,PRESTIGE,24-Feb-2026,2026-02-24,,,1689.7,1689.7,1689.7,1689.7,1689.7,1,7.60365,1350,450,2025-12-01
FUTSTK,RBLBANK,24-Feb-2026,2026-02-24,,,317.0,317.0,310.0,313.8,311.2,21,209.667475,82550,53975,2025-12-01
FUTSTK,RBLBANK,30-Dec-2025,2025-12-30,,,315.0,315.35,305.75,309.1,309.1,2732,26809.284,72431275,1374775,2025-12-01
FUTSTK,RBLBANK,27-Jan-2026,2026-01-27,,,316.65,316.65,308.05,310.7,310.7,97,958.611875,466725,142875,2025-12-01
FUTSTK,SHREECEM,27-Jan-2026,2026-01-27,,,26675.0,26800.0,26555.0,26665.0,26665.0,138,918.89375,7000,1175,2025-12-01
FUTSTK,SHREECEM,30-Dec-2025,2025-12-30,,,26520.0,26645.0,26435.0,26575.0,26575.0,1172,7776.1625,266525,75,2025-12-01
FUTSTK,SHREECEM,24-Feb-2026,2026-02-24,,,26740.0,26780.0,26740.0,26775.0,26770.0,4,26.7625,700,50,2025-12-01
FUTSTK,TATAELXSI,30-Dec-2025,2025-12-30,,,5193.5,5213.5,5137.0,5156.5,5156.5,1650,8525.6755,1953100,-7600,2025-12-01
FUTSTK,TATAELXSI,24-Feb-2026,2026-02-24,,,5245.0,5245.0,5190.0,5205.0,5205.0,19,99.07,5200,1400,2025-12-01
FUTSTK,TATAELXSI,27-Jan-2026,2026-01-27,,,5240.0,5240.0,5164.5,5185.0,5185.0,99,513.4515,82000,3200,2025-12-01
FUTSTK,TATASTEEL,24-Feb-2026,2026-02-24,,,172.0,172.5,170.9,170.9,170.92,18,169.75915,566500,-5500,2025-12-01
FUTSTK,TATASTEEL,30-Dec-2025,2025-12-30,,,169.98,170.59,168.41,169.34,169.34,3894,36289.1028,263708500,3674000,2025-12-01
FUTSTK,TATASTEEL,27-Jan-2026,2026-01-27,,,171.53,171.65,169.65,170.46,170.46,269,2522.62395,11748000,368500,2025-12-01
FUTSTK,TCS,30-Dec-2025,2025-12-30,,,3155.0,3171.5,3142.5,3151.2,3151.2,6965,38447.8113,26388950,0,2025-12-01
FUTSTK,TCS,24-Feb-2026,2026-02-24,,,3193.3,3204.1,3175.1,3185.6,3185.6,141,787.31275,80150,19600,2025-12-01
FUTSTK,TCS,27-Jan-2026,2026-01-27,,,3169.5,3182.7,3154.4,3163.4,3163.4,771,4270.89372,1236375,68250,2025-12-01
FUTSTK,AMBUJACEM,27-Jan-2026,2026-01-27,,,556.35,556.35,549.8,550.1,550.1,110,638.044575,938700,43050,2025-12-01
FUTSTK,AMBUJACEM,30-Dec-2025,2025-12-30,,,552.7,553.55,546.3,546.75,546.75,1870,10776.5857,46563300,137550,2025-12-01
FUTSTK,AMBUJACEM,24-Feb-2026,2026-02-24,,,560.0,560.0,552.9,553.1,553.1,31,180.4236,28350,16800,2025-12-01
FUTSTK,APLAPOLLO,27-Jan-2026,2026-01-27,,,1748.0,1758.6,1741.9,1745.9,1749.9,20,122.5861,24500,-700,2025-12-01
FUTSTK,APLAPOLLO,24-Feb-2026,2026-02-24,,,0.0,0.0,0.0,1745.0,1757.7,0,0.0,2800,0,2025-12-01
FUTSTK,APLAPOLLO,30-Dec-2025,2025-12-30,,,1738.5,1749.0,1730.6,1741.0,1741.0,1209,7366.70865,7101150,-27300,2025-12-01
FUTSTK,AUROPHARMA,24-Feb-2026,2026-02-24,,,0.0,0.0,0.0,1251.0,1232.6,0,0.0,1100,0,2025-12-01
FUTSTK,AUROPHARMA,30-Dec-2025,2025-12-30,,,1232.0,1233.2,1208.0,1221.1,1221.1,2975,19956.5019,23648900,-292600,2025-12-01
FUTSTK,AUROPHARMA,27-Jan-2026,2026-01-27,,,1235.7,1239.7,1215.2,1229.0,1229.0,137,925.41955,129250,29150,2025-12-01
FUTIDX,BANKNIFTY,24-Feb-2026,2026-02-24,,,60919.8,61000.0,60547.6,60665.4,60665.4,542,9886.19586,18240,2160,2025-12-01
FUTIDX,BANKNIFTY,27-Jan-2026,2026-01-27,,,60593.6,60674.6,60200.2,60293.6,60293.6,1891,34303.2205,153900,11370,2025-12-01
FUTIDX,BANKNIFTY,30-Dec-2025,2025-12-30,,,60230.0,60353.2,59834.0,59914.0,59914.0,27386,575780.87,1519595,-55650,2025-12-01
FUTSTK,BSE,30-Dec-2025,2025-12-30,,,2936.5,2969.0,2888.0,2902.6,2902.6,7144,78555.2047,9358500,64875,2025-12-01
FUTSTK,BSE,27-Jan-2026,2026-01-27,,,2946.2,2984.9,2906.1,2920.0,2920.0,283,3134.709,276000,13875,2025-12-01
FUTSTK,BSE,24-Feb-2026,2026-02-24,,,2980.0,2999.4,2925.0,2938.1,2938.1,52,577.647,33750,11625,2025-12-01
FUTSTK,CDSL,27-Jan-2026,2026-01-27,,,1642.6,1658.1,1614.9,1623.9,1623.9,209,1625.3246,487350,16625,2025-12-01
FUTSTK,CDSL,30-Dec-2025,2025-12-30,,,1636.7,1648.9,1606.1,1614.9,1614.9,2948,22816.1281,8859225,186675,2025-12-01
FUTSTK,CDSL,24-Feb-2026,2026-02-24,,,1658.2,1664.0,1628.0,1629.1,1629.1,37,289.068375,28975,14250,2025-12-01
FUTSTK,CONCOR,27-Jan-2026,2026-01-27,,,517.55,519.2,509.65,511.2,511.2,180,1155.25312,1497500,97500,2025-12-01
FUTSTK,CONCOR,24-Feb-2026,2026-02-24,,,518.3,519.35,511.0,511.8,511.8,66,424.35125,213750,51250,2025-12-01
FUTSTK,CONCOR,30-Dec-2025,2025-12-30,,,514.8,516.15,506.35,507.95,507.95,2440,15566.5212,38051250,377500,2025-12-01
FUTSTK,DALBHARAT,24-Feb-2026,2026-02-24,,,2050.0,2054.5,2050.0,2054.5,2036.5,3,20.01675,4225,975,2025-12-01
FUTSTK,DALBHARAT,27-Jan-2026,2026-01-27,,,2037.8,2041.6,2022.9,2029.0,2029.0,23,151.97585,37375,2925,2025-12-01
FUTSTK,DALBHARAT,30-Dec-2025,2025-12-30,,,2032.6,2034.6,2012.0,2019.8,2019.8,1220,8015.54487,2148250,-1950,2025-12-01
FUTSTK,EICHERMOT,24-Feb-2026,2026-02-24,,,7186.5,7352.0,7167.5,7230.0,7230.0,42,304.9735,4800,900,2025-12-01
FUTSTK,EICHERMOT,27-Jan-2026,2026-01-27,,,7174.0,7317.5,7095.0,7189.0,7189.0,447,3219.812,48800,3300,2025-12-01
FUTSTK,EICHERMOT,30-Dec-2025,2025-12-30,,,7138.0,7279.5,7042.0,7145.5,7145.5,9314,116600.281,3148075,-112875,2025-12-01
FUTSTK,INDIGO,24-Feb-2026,2026-02-24,,,5950.0,5950.0,5858.0,5876.5,5876.5,37,327.91125,4800,1650,2025-12-01
FUTSTK,INDIGO,27-Jan-2026,2026-01-27,,,5941.0,5965.0,5823.0,5841.5,5841.5,428,3766.39875,102600,20850,2025-12-01
FUTSTK,INDIGO,30-Dec-2025,2025-12-30,,,5914.0,5939.5,5785.5,5805.0,5805.0,4933,43257.5512,6989400,124650,2025-12-01
FUTSTK,IRCTC,30-Dec-2025,2025-12-30,,,692.45,695.45,683.9,686.6,686.6,1422,8571.23006,17789625,352625,2025-12-01
FUTSTK,IRCTC,24-Feb-2026,2026-02-24,,,701.05,701.05,690.0,692.7,692.7,27,163.827562,64750,17500,2025-12-01
FUTSTK,IRCTC,27-Jan-2026,2026-01-27,,,697.2,699.35,688.0,690.55,690.55,311,1885.23825,1397375,76125,2025-12-01
FUTSTK,JIOFIN,24-Feb-2026,2026-02-24,,,313.55,313.8,309.15,310.35,310.35,194,1420.82057,427700,272600,2025-12-01
FUTSTK,JIOFIN,30-Dec-2025,2025-12-30,,,309.0,310.25,305.4,306.6,306.6,3759,27165.8625,143552100,364250,2025-12-01
FUTSTK,JIOFIN,27-Jan-2026,2026-01-27,,,310.8,312.0,307.45,308.55,308.55,927,6741.82452,7792600,1290150,2025-12-01
FUTSTK,KAYNES,30-Dec-2025,2025-12-30,,,5544.5,5553.5,5350.0,5393.0,5393.0,8220,44597.268,2428200,245800,2025-12-01
FUTSTK,KAYNES,27-Jan-2026,2026-01-27,,,5568.5,5573.0,5385.0,5420.5,5420.5,386,2105.6105,130300,12300,2025-12-01
FUTSTK,KAYNES,24-Feb-2026,2026-02-24,,,5594.0,5598.0,5418.0,5446.0,5446.0,160,873.7105,18300,6200,2025-12-01
FUTSTK,KEI,27-Jan-2026,2026-01-27,,,4174.4,4179.4,4109.6,4117.9,4117.9,17,123.2357,11725,700,2025-12-01
FUTSTK,KEI,30-Dec-2025,2025-12-30,,,4174.0,4189.4,4105.6,4117.8,4117.8,907,6565.74887,924000,-15575,2025-12-01
FUTSTK,KEI,24-Feb-2026,2026-02-24,,,0.0,0.0,0.0,4196.5,4162.3,0,0.0,350,0,2025-12-01
FUTSTK,MFSL,27-Jan-2026,2026-01-27,,,1729.0,1735.2,1723.7,1732.2,1732.2,20,138.4052,36000,1600,2025-12-01
FUTSTK,MFSL,30-Dec-2025,2025-12-30,,,1720.1,1727.3,1710.7,1723.0,1723.0,1267,8709.9148,7497600,114400,2025-12-01
FUTSTK,MFSL,24-Feb-2026,2026-02-24,,,1740.7,1740.7,1735.1,1735.5,1736.5,6,41.7052,6000,800,2025-12-01
FUTSTK,NYKAA,30-Dec-2025,2025-12-30,,,268.1,269.45,263.6,266.05,266.05,2155,17894.4484,57534375,-259375,2025-12-01
FUTSTK,NYKAA,24-Feb-2026,2026-02-24,,,264.0,264.9,262.25,263.7,263.7,10,82.3015625,37500,9375,2025-12-01
FUTSTK,NYKAA,27-Jan-2026,2026-01-27,,,266.7,266.7,262.45,264.85,264.85,93,767.921875,593750,-12500,2025-12-01
FUTSTK,PAGEIND,27-Jan-2026,2026-01-27,,,38035.0,38070.0,37470.0,37510.0,37510.0,226,1277.259,7560,1395,2025-12-01
FUTSTK,PAGEIND,30-Dec-2025,2025-12-30,,,38350.0,38350.0,37435.0,37510.0,37510.0,3040,17198.4412,250980,14115,2025-12-01
FUTSTK,PAGEIND,24-Feb-2026,2026-02-24,,,37740.0,38000.0,37445.0,37445.0,37445.0,67,377.9955,1350,765,2025-12-01
FUTSTK,PERSISTENT,24-Feb-2026,2026-02-24,,,6438.0,6494.5,6438.0,6484.0,6492.5,17,109.8315,3000,900,2025-12-01
FUTSTK,PERSISTENT,27-Jan-2026,2026-01-27,,,6440.0,6468.0,6402.0,6460.5,6460.5,71,457.3345,23800,-200,2025-12-01
FUTSTK,PERSISTENT,30-Dec-2025,2025-12-30,,,6424.5,6452.5,6371.0,6431.0,6431.0,2422,15547.211,2038500,-24800,2025-12-01
FUTSTK,PNBHOUSING,27-Jan-2026,2026-01-27,,,907.6,925.5,907.6,919.55,919.55,33,197.36665,172900,-2600,2025-12-01
FUTSTK,PNBHOUSING,30-Dec-2025,2025-12-30,,,904.5,920.95,904.0,914.2,914.2,1470,8746.93007,15205450,-14950,2025-12-01
FUTSTK,PNBHOUSING,24-Feb-2026,2026-02-24,,,928.3,928.3,924.6,924.6,921.0,5,30.07355,9100,3250,2025-12-01
FUTSTK,SBILIFE,30-Dec-2025,2025-12-30,,,1973.6,1984.0,1963.7,1980.3,1980.3,1748,12934.701,7100625,-133125,2025-12-01
FUTSTK,SBILIFE,27-Jan-2026,2026-01-27,,,1985.2,1997.0,1977.1,1993.1,1993.1,144,1072.40512,130125,18375,2025-12-01
FUTSTK,SBILIFE,24-Feb-2026,2026-02-24,,,2002.0,2005.8,1987.7,2003.8,2003.8,39,291.83625,28875,10875,2025-12-01
FUTSTK,TIINDIA,27-Jan-2026,2026-01-27,,,2835.0,2857.4,2800.7,2824.8,2824.8,69,390.3244,41200,1600,2025-12-01
FUTSTK,TIINDIA,24-Feb-2026,2026-02-24,,,2862.2,2862.2,2822.0,2843.5,2835.5,8,45.3876,5200,600,2025-12-01
FUTSTK,TIINDIA,30-Dec-2025,2025-12-30,,,2766.5,2842.0,2766.5,2809.6,2809.6,1046,5885.131,2432400,1400,2025-12-01
FUTSTK,TITAN,27-Jan-2026,2026-01-27,,,3955.5,3955.5,3910.1,3935.5,3935.5,258,1774.85542,131775,16275,2025-12-01
